id;name_kz;name_ru;code;create_date;update_date;is_archive
1;'Департамент информационных технологий';'Департамент информационных технологий';'01';'2016-01-11';''2016-01-11'';false
2;'Департамент ERP';'Департамент ERP';'02';'2016-01-11';''2016-01-11'';false

