id;name_ru;name_kz;begin_date;end_date;create_date;last_update_date
1;'Уборщик служебных помещений';'Уборщик служебных помещений';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;'Дворник';'Дворник';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
3;'Электрик';'Электрик';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
4;'Сантехник';'Сантехник';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
5;'Плотник';'Плотник';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
