id;name_ru;name_kz;shortname_ru;shortname_kz;level;parent;gu_id;abp_id;begin_date;end_date;create_date;last_update_date
1;'Руководство';'Руководство';'Руководство';'Руководство';1;null;3;1;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;'Юридическое управление';'Юридическое управление';'Юридическое управление';'Юридическое управление';1;null;3;1;'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
