id;name_ru;name_kz;begin_date;end_date;create_date;last_update_date
1;'Политические государственные служащие корпуса А';'Политические государственные служащие корпуса А';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;'Административные государственные служащие корпуса Б';'Административные государственные служащие корпуса Б';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
3;'Государственные служащие, осуществляющие правоохранительную деятельность в сфере борьбы с экономическими и финансовыми преступлениями и правонарушениями, в сфере таможенного дела';'Государственные служащие, осуществляющие правоохранительную деятельность в сфере борьбы с экономическими и финансовыми преступлениями и правонарушениями, в сфере таможенного дела';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
