id;name_ru;name_kz;begin_date;end_date;create_date;last_update_date
1;'Для государственных служащих';'Для государственных служащих';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
2;'Для гражданских служащих управленческого персонала';'Для гражданских служащих управленческого персонала';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
3;'Для гражданских служащих основного, административного и вспомогательного персонала';'Для гражданских служащих основного, административного и вспомогательного персонала';'2016-01-01';'2050-12-31';'2016-01-01';'2016-01-01'
